,SARIMA
300,28.495723826674993
301,34.781041879490495
302,32.75815188780126
303,36.605154576365976
304,36.50831180329996
305,30.83480126531379
306,28.207286645020893
307,32.431199108378564
308,40.61789046845136
309,35.98919154983044
310,36.45294898408752
311,34.477149760741234
312,39.31092865652739
313,43.77927144810279
314,33.127198922240844
315,31.407895145463755
316,34.537387520341056
317,37.121943774712804
318,36.14689033970592
319,35.28748443947704
320,29.815436538273378
321,30.2996673395253
322,36.059169677162934
323,34.843351237622656
324,33.9356640657735
325,35.664348729727905
326,35.445390857050164
327,36.27666076891327
328,33.84661685020015
329,32.81221974664865
330,35.06457840740894
331,36.796906861915424
332,36.35554455458979
333,38.33646161518103
334,35.37464936133978
335,33.291864551822336
336,31.117406560791988
337,36.86079060030978
338,34.40842959082305
339,37.91462405601338
340,37.54735656831466
341,31.659267930156187
342,28.861488762314405
343,32.950298822605525
344,41.02978842199546
345,36.316026490177464
346,36.7122876802683
347,34.68293118443275
348,39.47421317580711
349,43.9088353016233
350,33.23000592570409
351,31.489470983738883
352,34.60211674272977
353,37.17330545630431
354,36.1876450751802
355,35.31982271992487
356,29.841096486010798
357,30.320028128929344
358,36.07532566272448
359,34.85617077346114
361,35.67242015052859
362,35.451795410200305
363,36.28174268721067
364,33.850649277283814
365,32.81541941796045
366,35.067117299319726
367,36.79892143513452
368,36.35714308867383
369,38.337730028358386
