,aqi
798,75
799,90
800,134
801,107
802,58
803,65
804,105
805,78
806,73
807,57
808,63
809,56
810,53
811,61
812,92
813,69
814,40
815,50
816,54
817,65
818,96
819,161
820,113
821,83
822,85
823,118
824,98
825,54
826,70
827,91
828,122
829,103
830,73
831,103
832,51
833,57
834,56
835,68
836,19
837,37
838,50
839,52
840,77
841,78
842,96
843,77
844,83
845,39
846,53
847,37
848,57
849,68
850,68
851,60
852,67
853,60
854,87
855,39
856,60
857,71
858,63
859,63
860,44
861,77
862,35
863,33
864,35
865,21
866,40
867,34
868,54
869,58
870,66
871,105
872,87
873,71
874,48
875,49
876,56
877,57
878,67
879,45
880,58
881,67
882,96
883,96
884,83
885,64
886,85
887,93
888,87
889,64
890,70
891,77
892,76
893,63
894,92
895,64
896,65
897,110
898,92
899,22
900,42
901,44
902,62
903,62
904,31
905,102
906,102
907,53
908,80
909,98
910,82
911,58
912,48
913,63
914,55
915,57
