,pm2.5
798,52
799,66
800,102
801,80
802,36
803,42
804,45
805,25
806,34
807,34
808,27
809,14
810,23
811,36
812,54
813,29
814,14
815,29
816,36
817,45
818,71
819,122
820,85
821,61
822,63
823,89
824,73
825,31
826,51
827,67
828,92
829,77
830,49
831,74
832,23
833,33
834,35
835,49
836,11
837,19
838,26
839,30
840,46
841,45
842,46
843,32
844,61
845,27
846,31
847,15
848,38
849,41
850,35
851,32
852,44
853,40
854,53
855,12
856,23
857,46
858,44
859,45
860,30
861,55
862,22
863,22
864,24
865,12
866,23
867,16
868,34
869,39
870,46
871,79
872,61
873,50
874,21
875,21
876,37
877,40
878,44
879,25
880,38
881,48
882,71
883,71
884,54
885,41
886,63
887,68
888,57
889,37
890,48
891,52
892,48
893,35
894,32
895,23
896,27
897,40
898,17
899,8
900,24
901,22
902,39
903,44
904,21
905,30
906,25
907,16
908,32
909,45
910,42
911,25
912,27
913,39
914,35
915,31
