,pm10
798,99
799,124
800,151
801,105
802,63
803,80
804,159
805,106
806,96
807,72
808,76
809,62
810,57
811,72
812,128
813,90
814,41
815,54
816,57
817,75
818,105
819,164
820,127
821,95
822,96
823,134
824,111
825,58
826,83
827,104
828,144
829,127
830,94
831,138
832,55
833,65
834,57
835,63
836,18
837,37
838,52
839,56
840,103
841,106
842,143
843,103
844,88
845,40
846,58
847,37
848,63
849,86
850,87
851,70
852,82
853,69
854,110
855,39
856,69
857,90
858,71
859,58
860,44
861,85
862,32
863,29
864,31
865,16
866,34
867,34
868,59
869,65
870,78
871,123
872,99
873,83
874,51
875,51
876,59
877,53
878,70
879,47
880,64
881,80
882,109
883,109
884,100
885,78
886,106
887,117
888,107
889,78
890,86
891,93
892,87
893,76
894,133
895,79
896,80
897,170
898,135
899,20
900,42
901,45
902,69
903,55
904,26
905,128
906,146
907,57
908,111
909,145
910,115
911,66
912,49
913,74
914,60
915,62
